Test_no,Fabric_type,Weight,Water_level,Weight_categorical,Water_level_10s,Water_level_20s,Water_level_30s,WL_exactpoint_60s,WL_exactpoint_30s,Weight_cat
32,Sentetik,2.0,5882.0,Çeyrek,5996.3,5948.75,5930.75,5887.0,5893.0,0
24,Sentetik,4.0,5853.0,Yarim,5969.85,5935.8,5923.55,5896.0,5897.0,1
25,Sentetik,4.0,5844.5,Yarim,5958.8,5935.075,5926.35,5906.0,5908.0,1
26,Sentetik,7.0,5857.0,Tam,5965.45,5937.675,5932.933333333333,5937.0,5938.0,2
27,Sentetik,7.0,5860.5,Tam,5981.0,5960.95,5953.966666666666,5941.0,5940.0,2
28,Sentetik,7.0,5858.0,Tam,5980.0,5953.925,5945.95,5928.5,5930.0,2
29,Sentetik,2.0,5862.5,Çeyrek,5996.9,5952.6,5937.3,5901.0,5905.5,0
30,Sentetik,2.0,5885.0,Çeyrek,5983.35,5941.95,5926.7,5890.0,5895.0,0
31,Sentetik,2.0,5844.5,Çeyrek,5955.1,5918.225,5904.9,5873.0,5877.0,0
23,Sentetik,4.0,5839.5,Yarim,5954.3,5919.175,5909.7,5892.5,5892.0,1
3,Sentetik,2.0,5860.5,Çeyrek,5967.4,5926.375,5911.683333333333,5880.0,5882.0,0
4,Sentetik,4.0,5892.5,Yarim,6011.75,5965.9,5949.3,5911.0,5915.0,1
5,Sentetik,4.0,5807.5,Yarim,5964.0,5926.4,5916.216666666666,5897.0,5897.0,1
6,Sentetik,4.0,5832.0,Yarim,5953.35,5925.425,5920.516666666666,5916.0,5916.0,1
7,Sentetik,7.0,5808.5,Tam,5984.95,5944.05,5933.75,5920.0,5915.5,2
8,Sentetik,7.0,5833.0,Tam,5952.1,5927.1,5922.316666666667,5923.0,5915.0,2
9,Sentetik,7.0,5813.0,Tam,5958.9,5935.15,5928.65,5922.0,5917.0,2
10,Sentetik,2.0,5896.5,Çeyrek,5976.45,5955.1,5947.683333333333,5930.0,5933.0,0
11,Sentetik,4.0,5845.0,Yarim,5982.35,5940.075,5929.133333333333,5914.5,5914.0,1
12,Sentetik,7.0,5849.5,Tam,5974.0,5938.875,5932.566666666667,5931.0,5923.0,2
13,Pamuklu,2.0,5906.0,Çeyrek,5991.1,5962.425,5951.933333333333,5928.0,5930.0,0
14,Pamuklu,2.0,5914.5,Çeyrek,6020.95,5980.0,5965.65,5934.5,5936.0,0
15,Pamuklu,2.0,5913.0,Çeyrek,6026.15,5980.975,5966.416666666667,5938.0,5940.0,0
16,Pamuklu,4.0,5885.5,Yarim,5973.7,5949.3,5943.233333333334,5940.0,5934.5,1
17T,Pamuklu,4.0,5921.5,Yarim,6002.0,5975.45,5966.2,5948.0,5947.5,1
18,Pamuklu,4.0,5881.5,Yarim,6004.0,5958.775,5944.45,5920.0,5916.5,1
19T,Pamuklu,7.0,5871.0,Tam,5979.5,5948.9,5939.266666666666,5925.0,5921.0,2
19,Pamuklu,7.0,5882.0,Tam,5981.65,5944.15,5932.3,5915.0,5909.5,2
20T,Pamuklu,7.0,5879.5,Tam,5981.2,5946.35,5933.75,5907.0,5906.0,2
20T,Pamuklu,7.0,5880.0,Tam,6009.45,5970.3,5958.266666666666,5941.0,5935.0,2
20,Pamuklu,7.0,5888.5,Tam,5973.05,5946.225,5938.1,5929.0,5923.0,2
21T,Pamuklu,7.0,5873.0,Tam,5978.75,5942.775,5931.766666666666,5914.0,5911.0,2
21,Pamuklu,7.0,5875.0,Tam,5986.45,5960.225,5953.666666666667,5947.0,5942.0,2
